id,igralec,ekipa,odigrane_igre,minute_natekmo,toèke_na_tekmo,met_iz_igre,trojke,prosti_meti
2579294,Frank Kaminsky,CHA,75,26.1,11.7,399,328,756
2991235,Steven Adams,OKC,80,29.9,11.3,571,0,611
2797,Marvin Williams,CHA,76,30.2,11.2,422,350,873
4011,Ricky Rubio,MIN,75,32.9,11.1,402,306,891
6619,Terrence Ross,ORL/TOR,78,25.1,11.0,437,363,831
3244,Thaddeus Young,IND,74,30.2,11.0,527,381,523
6637,Kent Bazemore,ATL,73,26.9,11.0,409,346,708
2798,Deron Williams,CLE/DAL,64,25.9,11.0,438,363,826
3986,Taj Gibson,CHI/OKC,78,25.5,10.8,515,231,715
3445,Courtney Lee,NY,77,31.9,10.8,456,401,867
2758,Marcin Gortat,WSH,82,31.2,10.8,579,0,648
2778,CJ Miles,IND,76,23.4,10.7,434,413,903
2531210,Allen Crabbe,POR,79,28.5,10.7,468,444,847
6459,Nikola Mirotic,CHI,70,24.0,10.6,413,342,773
2990992,Marcus Smart,BOS,79,30.4,10.6,359,283,812
2990984,Buddy Hield,NO/SAC,82,23.0,10.6,426,391,842
3190,Marco Belinelli,CHA,74,24.0,10.5,429,360,893
3981,Wayne Ellington,MIA,62,24.2,10.5,416,378,860
2488653,Mason Plumlee,DEN/POR,81,26.5,10.4,536,0,580
3447,Robin Lopez,CHI,81,28.0,10.4,493,0,721
2579258,Cody Zeller,CHA,62,27.8,10.3,571,0,679
6452,Jon Leuer,DET,75,25.9,10.2,480,293,867
2566769,Malcolm Brogdon,MIL,75,26.4,10.2,457,404,865
6589,Draymond Green,GS,76,32.5,10.2,418,308,709
